title,date,article_body,link,category,summary,company_name,funds
Relyance AI Selected as Top 10 Cybersecurity Finalist to Compete in RSA’s 2023 Innovation Sandbox Contest,03/28/2023 - 01:37 PM,"SAN FRANCISCO--(BUSINESS WIRE)--Relyance AI, a data protection and governance platform focused on building trust, has been named one of 10 finalists for the RSA Conference™ 2023 Innovation Sandbox contest for its innovative, code scanning and machine learning technology. Relyance will present its paradigm shifting platform to a panel of renowned industry judges and a live in-person audience on Monday, April 24, at the RSA Conference 2023 in San Francisco.",https://www.businesswire.com/news/home/20230328005799/en,Conference News,"SAN FRANCISCO--(BUSINESS WIRE)--Relyance AI, a data protection and governance platform focused on building trust, has been named one of 10 finalists for the RSA Conference™ 2023 Innovation Sandbox contest for its innovative, code scanning and machine learning technology.Relyance will present its paradigm shifting platform to a panel of renowned industry judges and a live in-person audience on Monday, April 24, at the RSA Conference 2023 in San Francisco.","['AI', 'the RSA Conference']",[]
CORRECTING and REPLACING Enterprise Connect 2023 Announces the Award Winners for the Best of Enterprise Connect Industry Awards,03/28/2023 - 01:31 PM,Bandwidth and Theta Lake Tie for Overall Best of Enterprise Connect Award; Winners Announced in Four Category Awards,https://www.businesswire.com/news/home/20230328005551/en,Conference News,Bandwidth and Theta Lake Tie for Overall Best of Enterprise Connect Award; Winners Announced in Four Category Awards,[],[]
Henry Schein Announces Presence at the 2023 Association of Dental Support Organizations (ADSO) Summit,03/28/2023 - 01:00 PM,"MELVILLE, N.Y.--(BUSINESS WIRE)--Henry Schein, Inc. (Nasdaq: HSIC) announced its presence at the 2023 ADSO Annual Summit, including thought-leadership presentations on the future of dentistry and intrapreneurship as well as activities to support communities in need.",https://www.businesswire.com/news/home/20230328005643/en,Conference News,"MELVILLE, N.Y.--(BUSINESS WIRE)--Henry Schein, Inc. (Nasdaq: HSIC) announced its presence at the 2023 ADSO Annual Summit, including thought-leadership presentations on the future of dentistry and intrapreneurship as well as activities to support communities in need.","['MELVILLE', 'N.Y.--(BUSINESS WIRE)--Henry Schein, Inc.', 'HSIC']",[]
Multinationals consider the CIIe as a springboard to the Chinese market,03/28/2023 - 12:49 PM,An exhibitor (right) presents products to visitors to its stand during the fifth China International Import Expo.(Photo: Business Wire),https://www.businesswire.com/news/home/20230328005529/fr,Conference News,An exhibitor (right) presents products to visitors to its stand during the fifth China International Import Expo.(Photo: Business Wire),[],[]
"J-Squared Unveils the FALC-20, their AI-Inferencing Small Form Factor Computer, in Collaboration with Blaize® to Deliver Scalable AI Acceleration for Edge Deployments, at ISCwest 2023",03/28/2023 - 12:00 PM,TORONTO--(BUSINESS WIRE)--J-Squared and Blaize® will showcase J-Squared’s FALC product family at the International Security Conference & Exposition (ISCwest) 2023 in Las Vegas from March 28th to 31st.,https://www.businesswire.com/news/home/20230328005058/en,Conference News,TORONTO--(BUSINESS WIRE)--J-Squared and Blaize® will showcase J-Squared’s FALC product family at the International Security Conference & Exposition (ISCwest) 2023 in Las Vegas from March 28th to 31st.,"['FALC', 'ISCwest']",[]
Exclusively for Business Event Participants: Sustainable experiences available only in Yokohama,03/28/2023 - 11:00 AM, ,https://www.businesswire.com/news/home/20230328005034/en,Conference News,,[],[]
"CrowdStrike’s Government Summit to Feature CISA Director Jen Easterly and Rob Joyce, Director, Cybersecurity Directorate, NSA Amongst Packed Keynote Lineup",03/28/2023 - 11:00 AM,"AUSTIN, Texas & WASHINGTON--(BUSINESS WIRE)--CrowdStrike (Nasdaq: CRWD), today announced its lineup of guest speakers and keynotes at the first CrowdStrike Government Summit on April 11 in Washington, DC at the Marriott Marquis.",https://www.businesswire.com/news/home/20230327005743/en,Conference News,"AUSTIN, Texas & WASHINGTON--(BUSINESS WIRE)--CrowdStrike (Nasdaq: CRWD), today announced its lineup of guest speakers and keynotes at the first CrowdStrike Government Summit on April 11 in Washington, DC at the Marriott Marquis.","['Texas & WASHINGTON--(BUSINESS', 'CRWD']",[]
"The Youth Asian forum of Asia opens to Nansha, Guangzhou",03/28/2023 - 09:14 AM,"The Youth Asian forum of Asia opens to Nansha, Guangzhou",https://www.businesswire.com/news/home/20230326005040/it,Conference News,"The Youth Asian forum of Asia opens to Nansha, Guangzhou",[],[]
"Opening of the Forum of Young Leaders of Asia in Nansha, Guangzhou",03/28/2023 - 09:14 AM,"Opening of the Forum of Young Leaders of Asia in Nansha, Guangzhou",https://www.businesswire.com/news/home/20230326005041/fr,Conference News,"Opening of the Forum of Young Leaders of Asia in Nansha, Guangzhou",[],[]
Bryn Pharma’s UTULY™ 13.2mg Intranasal Epinephrine Spray Provides Enhanced PK Profile (higher and more sustained) Compared to 0.3mg Epinephrine Autoinjector (EpiPen) in Subjects with and without Nasal Congestion,03/28/2023 - 09:05 AM,"RALEIGH, N.C.--(BUSINESS WIRE)--Bryn Pharma LLC, a privately held pharmaceutical company dedicated to finding a better way for patients and caregivers to treat anaphylaxis, today presented positive results from a study designed to assess the impact of nasal congestion on the absorption of its investigational 13.2mg intranasal epinephrine spray, UTULY™. The new research presented at the American Society for Clinical Pharmacology & Therapeutics (ASCPT) annual meeting in Atlanta, Ga., showed that nasal congestion enhanced peak levels of epinephrine after intranasal administration of UTULY. The poster, “The Effect of Nasal Congestion on the Bioavailability of Intranasally Administered Epinephrine in Healthy Adult Subjects with Seasonal Allergies,” can be found here.",https://www.businesswire.com/news/home/20230328005312/en,Conference News,"RALEIGH, N.C.--(BUSINESS WIRE)--Bryn Pharma LLC, a privately held pharmaceutical company dedicated to finding a better way for patients and caregivers to treat anaphylaxis, today presented positive results from a study designed to assess the impact of nasal congestion on the absorption of its investigational 13.2mg intranasal epinephrine spray, UTULY™.The poster, “The Effect of Nasal Congestion on the Bioavailability of Intranasally Administered Epinephrine in Healthy Adult Subjects with Seasonal Allergies,” can be found here.",['RALEIGH'],[]
MEDIA ALERT: AttackIQ Announces Third Annual Purple Hats Conference,03/28/2023 - 09:00 AM,"SANTA CLARA, Calif.--(BUSINESS WIRE)--AttackIQ®, the leading independent vendor of Breach and Attack Simulation (BAS) systems, today announced the details surrounding its upcoming Purple Hats Conference, to be held virtually on Thursday, April 6, 2023, from 8 a.m. – 12:30 p.m. PT.",https://www.businesswire.com/news/home/20230328005394/en,Conference News,"SANTA CLARA, Calif.--(BUSINESS WIRE)--AttackIQ®, the leading independent vendor of Breach and Attack Simulation (BAS) systems, today announced the details surrounding its upcoming Purple Hats Conference, to be held virtually on Thursday, April 6, 2023, from 8 a.m. – 12:30 p.m. PT.","['Breach', 'Attack Simulation']",[]
Herbalife Scientists and Experts to Participate in Scientific Conferences and Present Nutrition Research in the Second Quarter,03/28/2023 - 09:00 AM,"LOS ANGELES--(BUSINESS WIRE)--Herbalife, a global health and wellness company and community, announced today that its experts across several wellness categories from around the world have been invited to present at scientific conferences taking place in the second quarter of 2023. The global nutrition company employs more than 300 scientists and Ph.Ds. to guide the vigorous scientific development of its products to help people live their best lives.",https://www.businesswire.com/news/home/20230328005396/en,Conference News,"LOS ANGELES--(BUSINESS WIRE)--Herbalife, a global health and wellness company and community, announced today that its experts across several wellness categories from around the world have been invited to present at scientific conferences taking place in the second quarter of 2023.to guide the vigorous scientific development of its products to help people live their best lives.",[],[]
Blue Yonder Survey: Consumers Interest in Sustainable Products and Practices Still High,03/28/2023 - 09:00 AM,"Blue Yonder surveyed more than 1,000 U.S. consumers on their sustainable shopping opinions and behaviors. The survey found that consumers are still committed to shopping sustainably even as budgets tighten. Explore this and other results in the 2023 Consumer Sustainability Survey infographic.",https://www.businesswire.com/news/home/20230328005480/en,Conference News,"Blue Yonder surveyed more than 1,000 U.S. consumers on their sustainable shopping opinions and behaviors.The survey found that consumers are still committed to shopping sustainably even as budgets tighten.",[],[]
"Semantic Layer Summit Agenda Released: Join Industry Leaders for Virtual Event on April 26, 2023",03/28/2023 - 08:58 AM,"BOSTON--(BUSINESS WIRE)--AtScale, the leading provider of semantic layer solutions for modern business intelligence and data science teams, today announced the full agenda for the upcoming Semantic Layer Summit. The summit will be broadcast live on Wednesday, April 26, 2023, from 10:30 am to 5:00 pm EDT.",https://www.businesswire.com/news/home/20230328005436/en,Conference News,"BOSTON--(BUSINESS WIRE)--AtScale, the leading provider of semantic layer solutions for modern business intelligence and data science teams, today announced the full agenda for the upcoming Semantic Layer Summit.The summit will be broadcast live on Wednesday, April 26, 2023, from 10:30 am to 5:00 pm EDT.","['BOSTON--(BUSINESS WIRE)--AtScale', 'Semantic Layer Summit']",[]
