title,date,article_body,link,category,summary,company_name,funds
"ZYNEX ALERT: Bragar Eagel & Squire, P.C. is Investigating Zynex, Inc. on Behalf of Zynex Stockholders and Encourages Investors to Contact the Firm",03/30/2023 - 11:00 PM,"NEW YORK--(BUSINESS WIRE)--Bragar Eagel & Squire, P.C., a nationally recognized stockholder rights law firm, is investigating potential claims against Zynex, Inc. (“Zynex” or the “Company”) (NASDAQ: ZYXI) on behalf of Zynex stockholders. Our investigation concerns whether Zynex has violated the federal securities laws and/or engaged in other unlawful business practices.",https://www.businesswire.com/news/home/20230330005866/en,Lawsuit News,"NEW YORK--(BUSINESS WIRE)--Bragar Eagel & Squire, P.C., a nationally recognized stockholder rights law firm, is investigating potential claims against Zynex, Inc. (“Zynex” or the “Company”) (NASDAQ: ZYXI) on behalf of Zynex stockholders.Our investigation concerns whether Zynex has violated the federal securities laws and/or engaged in other unlawful business practices.","['Eagel & Squire', 'Zynex, Inc.', 'NASDAQ', 'Zynex', 'Zynex']",[]
"MARATHON ALERT: Bragar Eagel & Squire, P.C. Announces that a Class Action Lawsuit Has Been Filed Against Marathon Digital Holdings, Inc. and Encourages Investors to Contact the Firm",03/30/2023 - 11:00 PM,"NEW YORK--(BUSINESS WIRE)--Bragar Eagel & Squire, P.C., a nationally recognized stockholder rights law firm, announces that a class action lawsuit has been filed against Marathon Digital Holdings, Inc. (“Marathon” or the “Company”) (NASDAQ: MARA) in the United States District Court for the District of Nevada on behalf of all persons and entities who purchased or otherwise acquired Marathon securities between May 10, 2021 and February 28, 2023, both dates inclusive (the “Class Period”). Investors have until May 30, 2023 to apply to the Court to be appointed as lead plaintiff in the lawsuit.",https://www.businesswire.com/news/home/20230330005867/en,Lawsuit News,"NEW YORK--(BUSINESS WIRE)--Bragar Eagel & Squire, P.C., a nationally recognized stockholder rights law firm, announces that a class action lawsuit has been filed against Marathon Digital Holdings, Inc. (“Marathon” or the “Company”) (NASDAQ: MARA) in the United States District Court for the District of Nevada on behalf of all persons and entities who purchased or otherwise acquired Marathon securities between May 10, 2021 and February 28, 2023, both dates inclusive (the “Class Period”).Investors have until May 30, 2023 to apply to the Court to be appointed as lead plaintiff in the lawsuit.","['Eagel & Squire', 'Marathon Digital Holdings, Inc.', 'Court']",[]
"Glancy Prongay & Murray LLP, a Leading Securities Fraud Law Firm, Announces the Filing of a Securities Class Action on Behalf of Target Corporation (TGT) Investors",03/30/2023 - 08:56 PM,"LOS ANGELES--(BUSINESS WIRE)--Glancy Prongay & Murray LLP (“GPM”), a leading national shareholder rights law firm, announces that a class action lawsuit has been filed on behalf of investors who purchased or otherwise acquired Target Corporation (“Target” or the “Company”) (NYSE: TGT) common stock between August 18, 2021 and May 17, 2022, inclusive (the “Class Period”). Target investors have until May 30, 2023 to file a lead plaintiff motion.",https://www.businesswire.com/news/home/20230330005859/en,Lawsuit News,"LOS ANGELES--(BUSINESS WIRE)--Glancy Prongay & Murray LLP (“GPM”), a leading national shareholder rights law firm, announces that a class action lawsuit has been filed on behalf of investors who purchased or otherwise acquired Target Corporation (“Target” or the “Company”) (NYSE: TGT) common stock between August 18, 2021 and May 17, 2022, inclusive (the “Class Period”).Target investors have until May 30, 2023 to file a lead plaintiff motion.","['Prongay & Murray LLP', 'GPM', 'Target Corporation', 'Target', 'NYSE', 'TGT']",[]
INVESTOR ALERT: Law Offices of Howard G. Smith Announces the Filing of a Securities Class Action on Behalf of Target Corporation (TGT) Investors,03/30/2023 - 07:37 PM,"BENSALEM, Pa.--(BUSINESS WIRE)--Law Offices of Howard G. Smith announces that a class action lawsuit has been filed on behalf of investors who purchased Target Corporation (“Target” or the “Company”) (NYSE: TGT) common stock between August 18, 2021 and May 17, 2022, inclusive (the “Class Period”). Target investors have until May 30, 2023 to file a lead plaintiff motion.",https://www.businesswire.com/news/home/20230330005839/en,Lawsuit News,"BENSALEM, Pa.--(BUSINESS WIRE)--Law Offices of Howard G. Smith announces that a class action lawsuit has been filed on behalf of investors who purchased Target Corporation (“Target” or the “Company”) (NYSE: TGT) common stock between August 18, 2021 and May 17, 2022, inclusive (the “Class Period”).Target investors have until May 30, 2023 to file a lead plaintiff motion.","['Target Corporation', 'Target', 'NYSE', 'TGT']",[]
"Glancy Prongay & Murray LLP, a Leading Securities Fraud Law Firm, Announces Investigation of Luminar Technologies, Inc. (LAZR) on Behalf of Investors",03/30/2023 - 07:28 PM,"LOS ANGELES--(BUSINESS WIRE)--Glancy Prongay & Murray LLP (“GPM”), a leading national shareholder rights law firm, today announced that it has commenced an investigation on behalf of Luminar Technologies, Inc. (“Luminar” or the “Company”) (NASDAQ: LAZR) investors concerning the Company’s possible violations of the federal securities laws.",https://www.businesswire.com/news/home/20230330005835/en,Lawsuit News,"LOS ANGELES--(BUSINESS WIRE)--Glancy Prongay & Murray LLP (“GPM”), a leading national shareholder rights law firm, today announced that it has commenced an investigation on behalf of Luminar Technologies, Inc. (“Luminar” or the “Company”) (NASDAQ: LAZR) investors concerning the Company’s possible violations of the federal securities laws.","['Prongay & Murray LLP', 'GPM', 'Luminar Technologies, Inc.', 'Company']",[]
"Glancy Prongay & Murray LLP, a Leading Securities Fraud Law Firm, Announces the Filing of a Securities Class Action on Behalf of TAL Education Group (TAL) Investors",03/30/2023 - 07:22 PM,"LOS ANGELES--(BUSINESS WIRE)--Glancy Prongay & Murray LLP (“GPM”), a leading national shareholder rights law firm, announces that a class action lawsuit has been filed on behalf of investors who purchased or otherwise acquired TAL Education Group (“TAL” or the “Company”) (NYSE: TAL) American Depository Shares (“ADSs”) between June 14, 2022 and March 14, 2023, inclusive (the “Class Period”). TAL investors have until May 30, 2023 to file a lead plaintiff motion.",https://www.businesswire.com/news/home/20230330005836/en,Lawsuit News,"LOS ANGELES--(BUSINESS WIRE)--Glancy Prongay & Murray LLP (“GPM”), a leading national shareholder rights law firm, announces that a class action lawsuit has been filed on behalf of investors who purchased or otherwise acquired TAL Education Group (“TAL” or the “Company”) (NYSE: TAL) American Depository Shares (“ADSs”) between June 14, 2022 and March 14, 2023, inclusive (the “Class Period”).TAL investors have until May 30, 2023 to file a lead plaintiff motion.","['Prongay & Murray LLP', 'GPM', 'TAL Education Group', 'TAL', 'NYSE', 'TAL']",[]
Shareholder Alert: Robbins LLP Informs Investors of Class Action Against Target Corporation (TGT),03/30/2023 - 06:52 PM,"SAN DIEGO--(BUSINESS WIRE)--The Class: Robbins LLP informs investors that a shareholder filed a class action on behalf of all persons and entities that purchased or otherwise acquired Target Corporation (NYSE: TGT) common stock between August 18, 2021 and May 17, 2022, for violations of the Securities Exchange Act of 1934. Target is a major retailer of five ""core"" product categories – apparel, food and beverage, essentials and beauty, home, and hardlines.",https://www.businesswire.com/news/home/20230330005832/en,Lawsuit News,"SAN DIEGO--(BUSINESS WIRE)--The Class: Robbins LLP informs investors that a shareholder filed a class action on behalf of all persons and entities that purchased or otherwise acquired Target Corporation (NYSE: TGT) common stock between August 18, 2021 and May 17, 2022, for violations of the Securities Exchange Act of 1934.Target is a major retailer of five ""core"" product categories – apparel, food and beverage, essentials and beauty, home, and hardlines.","['Target Corporation', 'NYSE', 'TGT', 'the Securities Exchange Act']",[]
"Medical Properties Trust Files Lawsuit Against Short-Seller Viceroy Research and Its Members, Sends Letter to Shareholders",03/30/2023 - 06:04 PM,"BIRMINGHAM, Ala.--(BUSINESS WIRE)--Medical Properties Trust, Inc. (the “Company” or “MPT”) (NYSE: MPW) today filed a lawsuit in federal court against Viceroy Research LLC (“Viceroy”), a short-selling firm that has repeatedly published baseless allegations to drive down the Company’s stock price. The lawsuit seeks permanent injunctive relief, disgorgement of ill-gotten gains, and compensatory and punitive damages from Viceroy and its members for defamation, civil conspiracy, tortious interference, private nuisance, and unjust enrichment.",https://www.businesswire.com/news/home/20230330005757/en,Lawsuit News,"BIRMINGHAM, Ala.--(BUSINESS WIRE)--Medical Properties Trust, Inc. (the “Company” or “MPT”) (NYSE: MPW) today filed a lawsuit in federal court against Viceroy Research LLC (“Viceroy”), a short-selling firm that has repeatedly published baseless allegations to drive down the Company’s stock price.The lawsuit seeks permanent injunctive relief, disgorgement of ill-gotten gains, and compensatory and punitive damages from Viceroy and its members for defamation, civil conspiracy, tortious interference, private nuisance, and unjust enrichment.","['NYSE', 'Viceroy Research', 'Company']",[]
"Stanley Black & Decker, Inc. (SWK) Class Action Alert: Robbins LLP Reminds Investors of Lead Plaintiff Deadline in Class Action Against Stanley Black & Decker, Inc.",03/30/2023 - 05:16 PM,"SAN DIEGO--(BUSINESS WIRE)--The Class: Robbins LLP reminds investors that a shareholder filed a class action on behalf of all persons and entities that purchased or otherwise acquired Stanley Black & Decker, Inc. (NYSE: SWK) common stock between October 28, 2021 and July 28, 2022, for violations of the Securities Exchange Act of 1934. Stanley Black & Decker, Inc. engages in the tools and storage and industrial businesses in the United States, Canada, rest of Americas, France, rest of Europe, and Asia.",https://www.businesswire.com/news/home/20230330005801/en,Lawsuit News,"SAN DIEGO--(BUSINESS WIRE)--The Class: Robbins LLP reminds investors that a shareholder filed a class action on behalf of all persons and entities that purchased or otherwise acquired Stanley Black & Decker, Inc. (NYSE: SWK) common stock between October 28, 2021 and July 28, 2022, for violations of the Securities Exchange Act of 1934.Stanley Black & Decker, Inc. engages in the tools and storage and industrial businesses in the United States, Canada, rest of Americas, France, rest of Europe, and Asia.","['Stanley Black & Decker, Inc.', 'NYSE', 'the Securities Exchange Act', 'Black & Decker, Inc.']",[]
Dish Network Corporation (DISH) Class Action Alert: Robbins LLP Reminds Investors of Lead Plaintiff Deadline in Class Action Against DISH Network Corporation,03/30/2023 - 05:04 PM,"SAN DIEGO--(BUSINESS WIRE)--The Class: Robbins LLP reminds investors that a shareholder filed a class action on behalf of all persons and entities that purchased or otherwise acquired Dish Network Corporation (NASDAQ: DISH) securities between February 22, 2021 and February 27, 2023, for violations of the Securities Exchange Act of 1934. Dish, with its subsidiaries, provides pay-TV services in the United States.",https://www.businesswire.com/news/home/20230330005799/en,Lawsuit News,"SAN DIEGO--(BUSINESS WIRE)--The Class: Robbins LLP reminds investors that a shareholder filed a class action on behalf of all persons and entities that purchased or otherwise acquired Dish Network Corporation (NASDAQ: DISH) securities between February 22, 2021 and February 27, 2023, for violations of the Securities Exchange Act of 1934.Dish, with its subsidiaries, provides pay-TV services in the United States.","['Dish Network Corporation', 'the Securities Exchange Act']",[]
